Entity,Code_x,Year_x,Share of population in poverty ($3 a day),Population,World region according to OWID,Share of population in poverty ($3 a day) (Original Year),Code_y,Year_y,Total across all levels,Total across all levels (Original Year)
Albania,ALB,2023,0.3409224562346935,,,2020.0,ALB,2023,1485914062,2022.0
Armenia,ARM,2023,1.9280258566141129,2943398.0,Asia,,ARM,2023,1499071777,
Australia,AUS,2023,0.9892079047858716,,,2020.0,AUS,2023,86975968750,2021.0
Austria,AUT,2023,0.5282233003526926,9130434.0,Europe,,AUT,2023,33641597656,2021.0
Bangladesh,BGD,2023,5.909079313278198,,,2022.0,BGD,2023,11822244140,2019.0
Belarus,BLR,2023,0.0,,,2020.0,BLR,2023,13483891601,
Belgium,BEL,2023,0.0869004521518945,11712891.0,Europe,,BEL,2023,49222945312,2021.0
Belize,BLZ,2023,1.0364782996475697,,,2018.0,BLZ,2023,213982574,
Benin,BEN,2023,27.223417162895203,,,2021.0,BEN,2023,1226189819,2018.0
Bhutan,BTN,2023,0.0133782843477092,,,2022.0,BTN,2023,658835388,2018.0
Bolivia,BOL,2023,2.817487344145775,12244161.0,South America,,BOL,2023,9618643554,2021.0
Brazil,BRA,2023,3.815588727593422,211140731.0,South America,,BRA,2023,222873281250,2021.0
Bulgaria,BGR,2023,1.0110015980899334,6795805.0,Europe,,BGR,2023,10435737304,2021.0
Burkina Faso,BFA,2023,42.06163287162781,,,2021.0,BFA,2023,2773851562,2018.0
Burundi,BDI,2023,74.19917583465576,,,2020.0,BDI,2023,559964355,2018.0
Cameroon,CMR,2023,26.69180035591125,,,2021.0,CMR,2023,3902927001,2018.0
Canada,CAN,2023,0.2499019727110862,,,2021.0,CAN,2023,96205226562,2021.0
Chad,TCD,2023,39.47537541389465,,,2022.0,TCD,2023,937060485,2021.0
Chile,CHL,2023,0.5198356229811907,,,2022.0,CHL,2023,30331193359,2021.0
Costa Rica,CRI,2023,1.539553329348564,5105526.0,North America,,CRI,2023,8106400878,2021.0
Cote d'Ivoire,CIV,2023,20.90260833501816,,,2021.0,CIV,2023,7444147949,
Croatia,HRV,2023,0.2627608831971884,3896023.0,Europe,,HRV,2023,6196227539,2021.0
Cyprus,CYP,2023,0.013168177974876,1344981.0,Europe,,CYP,2023,2446126220,2021.0
Czechia,CZE,2023,0.0,10809722.0,Europe,,CZE,2023,25893830078,2021.0
Democratic Republic of Congo,COD,2023,85.31767129898071,,,2020.0,COD,2023,1699608886,2017.0
Denmark,DNK,2023,0.3592246910557151,5948134.0,Europe,,DNK,2023,31354744140,2021.0
Ecuador,ECU,2023,4.6807412058115005,17980079.0,South America,,ECU,2023,10845172851,
El Salvador,SLV,2023,4.636839404702187,6309629.0,North America,,SLV,2023,2443331542,
Estonia,EST,2023,0.3169490024447441,1367195.0,Europe,,EST,2023,3419253906,2021.0
Ethiopia,ETH,2023,38.63611519336701,,,2021.0,ETH,2023,7687093750,2014.0
Fiji,FJI,2023,4.653071612119675,,,2019.0,FJI,2023,419683105,2013.0
Finland,FIN,2023,0.1950641628354787,5601185.0,Europe,,FIN,2023,22440816406,2021.0
France,FRA,2023,0.0697234645485878,66438828.0,Europe,,FRA,2023,207492281250,2021.0
Gambia,GMB,2023,22.00188785791397,,,2020.0,GMB,2023,161097274,2018.0
Georgia,GEO,2023,5.826692283153534,3807494.0,Asia,,GEO,2023,3347795898,
Germany,DEU,2023,0.2437963150441646,,,2020.0,DEU,2023,299105437500,2021.0
Greece,GRC,2023,0.5942829418927431,10242910.0,Europe,,GRC,2023,14028684570,2019.0
Grenada,GRD,2023,0.7673545274883509,,,2018.0,GRD,2023,63930068,2017.0
Guatemala,GTM,2023,9.660949558019638,18124841.0,North America,,GTM,2023,7595461914,
Guinea,GIN,2023,11.650444567203522,,,2018.0,GIN,2023,1266713500,2020.0
Guinea-Bissau,GNB,2023,39.86110985279083,,,2021.0,GNB,2023,72950408,2013.0
Honduras,HND,2023,17.02127605676651,10644853.0,North America,,HND,2023,2982103515,
Iceland,ISL,2023,0.0799420231487602,,,2019.0,ISL,2023,2118303955,2021.0
India,IND,2023,5.25164008140564,,,2022.0,IND,2023,480482406250,2021.0
Indonesia,IDN,2023,6.716166436672211,281190068.0,Asia,,IDN,2023,109398687500,2015.0
Iran,IRN,2023,2.4873051792383194,90608708.0,Asia,,IRN,2023,35312531250,2022.0
Ireland,IRL,2023,0.082305766409263,5196629.0,Europe,,IRL,2023,18847160156,2021.0
Israel,ISR,2023,0.7207458838820457,,,2021.0,ISR,2023,28842126953,2021.0
Italy,ITA,2023,0.927226897329092,59499452.0,Europe,,ITA,2023,133675343750,2021.0
Jamaica,JAM,2023,1.3869243673980236,,,2021.0,JAM,2023,1455149169,2022.0
Kazakhstan,KAZ,2023,0.0401756464270874,,,2021.0,KAZ,2023,19561117187,2019.0
Kenya,KEN,2023,46.879225969314575,,,2022.0,KEN,2023,12179375000,2018.0
Kyrgyzstan,KGZ,2023,2.7435172349214554,7073523.0,Asia,,KGZ,2023,2173580078,2021.0
Laos,LAO,2023,15.656700730323792,,,2018.0,LAO,2023,1336678466,2014.0
Latvia,LVA,2023,0.4440968390554189,1882399.0,Europe,,LVA,2023,3463346191,2021.0
Lebanon,LBN,2023,5.894135683774948,,,2022.0,LBN,2023,2453507812,2013.0
Lithuania,LTU,2023,1.0979139246046543,2854104.0,Europe,,LTU,2023,5997979980,2021.0
Luxembourg,LUX,2023,0.0851376331411302,665101.0,Europe,,LUX,2023,3509688964,2021.0
Madagascar,MDG,2023,69.17263865470886,,,2021.0,MDG,2023,1410123046,2018.0
Malawi,MWI,2023,75.43821930885315,,,2019.0,MWI,2023,1002194885,2018.0
Malaysia,MYS,2023,0.0130829415866173,,,2021.0,MYS,2023,41448406250,2020.0
Maldives,MDV,2023,0.0,,,2019.0,MDV,2023,334357360,2016.0
Mali,MLI,2023,36.1030787229538,,,2021.0,MLI,2023,2455062255,2021.0
Malta,MLT,2023,0.1100514433346688,,,2022.0,MLT,2023,1562975463,2021.0
Marshall Islands,MHL,2023,2.100958488881588,,,2019.0,MHL,2023,22174720,2022.0
Mauritania,MRT,2023,10.221504420042038,,,2019.0,MRT,2023,1558608886,
Mexico,MEX,2023,2.3303961381316185,,,2022.0,MEX,2023,124365296875,2021.0
Moldova,MDA,2023,0.1292223925702273,3067072.0,Europe,,MDA,2023,2763658203,
Mongolia,MNG,2023,0.4398250952363014,,,2022.0,MNG,2023,1975173461,2017.0
Mozambique,MOZ,2023,81.3613772392273,,,2022.0,MOZ,2023,2576254882,2018.0
Nepal,NPL,2023,2.4363145232200623,,,2022.0,NPL,2023,5057647949,2018.0
Netherlands,NLD,2023,0.0972631154581904,,,2021.0,NLD,2023,69636320312,2021.0
Niger,NER,2023,60.489869117736816,,,2021.0,NER,2023,1289830810,2018.0
