Entity,Code_x,Year_x,Share of population in poverty ($3 a day),Population,World region according to OWID,Share of population in poverty ($3 a day) (Original Year),Code_y,Year_y,Total across all levels,Total across all levels (Original Year)
Afghanistan,,,,,,,AFG,2023.0,4899548828.0,2017.0
Albania,ALB,2023.0,0.3409224562346935,,,2020.0,ALB,2023.0,1485914062.0,2022.0
Algeria,,,,,,,DZA,2023.0,11681594726.0,
Andorra,,,,,,,AND,2023.0,106645668.0,
Angola,AGO,2023.0,39.29470479488373,,,2018.0,,,,
Argentina,,,,,,,ARG,2023.0,64512031250.0,2022.0
Armenia,ARM,2023.0,1.9280258566141129,2943398.0,Asia,,ARM,2023.0,1499071777.0,
Australia,AUS,2023.0,0.9892079047858716,,,2020.0,AUS,2023.0,86975968750.0,2021.0
Austria,AUT,2023.0,0.5282233003526926,9130434.0,Europe,,AUT,2023.0,33641597656.0,2021.0
Azerbaijan,,,,,,,AZE,2023.0,6963050292.0,2022.0
Bahrain,,,,,,,BHR,2023.0,1938391357.0,2017.0
Bangladesh,BGD,2023.0,5.909079313278198,,,2022.0,BGD,2023.0,11822244140.0,2019.0
Barbados,,,,,,,BRB,2023.0,190411407.0,
Belarus,BLR,2023.0,0.0,,,2020.0,BLR,2023.0,13483891601.0,
Belgium,BEL,2023.0,0.0869004521518945,11712891.0,Europe,,BEL,2023.0,49222945312.0,2021.0
Belize,BLZ,2023.0,1.0364782996475697,,,2018.0,BLZ,2023.0,213982574.0,
Benin,BEN,2023.0,27.223417162895203,,,2021.0,BEN,2023.0,1226189819.0,2018.0
Bhutan,BTN,2023.0,0.0133782843477092,,,2022.0,BTN,2023.0,658835388.0,2018.0
Bolivia,BOL,2023.0,2.817487344145775,12244161.0,South America,,BOL,2023.0,9618643554.0,2021.0
Bosnia and Herzegovina,,,,,,,BIH,2023.0,2694577148.0,2021.0
Brazil,BRA,2023.0,3.815588727593422,211140731.0,South America,,BRA,2023.0,222873281250.0,2021.0
Brunei,,,,,,,BRN,2023.0,1530458374.0,2016.0
Bulgaria,BGR,2023.0,1.0110015980899334,6795805.0,Europe,,BGR,2023.0,10435737304.0,2021.0
Burkina Faso,BFA,2023.0,42.06163287162781,,,2021.0,BFA,2023.0,2773851562.0,2018.0
Burundi,BDI,2023.0,74.19917583465576,,,2020.0,BDI,2023.0,559964355.0,2018.0
Cambodia,,,,,,,KHM,2023.0,1677483642.0,2018.0
Cameroon,CMR,2023.0,26.69180035591125,,,2021.0,CMR,2023.0,3902927001.0,2018.0
Canada,CAN,2023.0,0.2499019727110862,,,2021.0,CAN,2023.0,96205226562.0,2021.0
Cape Verde,,,,,,,CPV,2023.0,208854156.0,2019.0
Central African Republic,CAF,2023.0,71.61734700202942,,,2021.0,,,,
Chad,TCD,2023.0,39.47537541389465,,,2022.0,TCD,2023.0,937060485.0,2021.0
Chile,CHL,2023.0,0.5198356229811907,,,2022.0,CHL,2023.0,30331193359.0,2021.0
China,CHN,2023.0,0.0,,,2022.0,,,,
Colombia,COL,2023.0,7.686956226825714,52321152.0,South America,,,,,
Comoros,,,,,,,COM,2023.0,66528816.0,2015.0
Congo,,,,,,,COG,2023.0,1143491577.0,2018.0
Costa Rica,CRI,2023.0,1.539553329348564,5105526.0,North America,,CRI,2023.0,8106400878.0,2021.0
Cote d'Ivoire,CIV,2023.0,20.90260833501816,,,2021.0,CIV,2023.0,7444147949.0,
Croatia,HRV,2023.0,0.2627608831971884,3896023.0,Europe,,HRV,2023.0,6196227539.0,2021.0
Cyprus,CYP,2023.0,0.013168177974876,1344981.0,Europe,,CYP,2023.0,2446126220.0,2021.0
Czechia,CZE,2023.0,0.0,10809722.0,Europe,,CZE,2023.0,25893830078.0,2021.0
Democratic Republic of Congo,COD,2023.0,85.31767129898071,,,2020.0,COD,2023.0,1699608886.0,2017.0
Denmark,DNK,2023.0,0.3592246910557151,5948134.0,Europe,,DNK,2023.0,31354744140.0,2021.0
Djibouti,,,,,,,DJI,2023.0,239597625.0,2018.0
Dominica,,,,,,,DMA,2023.0,55210289.0,2020.0
Dominican Republic,DOM,2023.0,1.2726033106446266,11331269.0,North America,,,,,
East Timor,,,,,,,TLS,2023.0,390936981.0,2018.0
Ecuador,ECU,2023.0,4.6807412058115005,17980079.0,South America,,ECU,2023.0,10845172851.0,
Egypt,EGY,2023.0,1.3737847097218037,,,2021.0,,,,
El Salvador,SLV,2023.0,4.636839404702187,6309629.0,North America,,SLV,2023.0,2443331542.0,
Equatorial Guinea,GNQ,2023.0,8.79419893026352,,,2022.0,,,,
Estonia,EST,2023.0,0.3169490024447441,1367195.0,Europe,,EST,2023.0,3419253906.0,2021.0
Eswatini,,,,,,,SWZ,2023.0,705773132.0,2014.0
Ethiopia,ETH,2023.0,38.63611519336701,,,2021.0,ETH,2023.0,7687093750.0,2014.0
Fiji,FJI,2023.0,4.653071612119675,,,2019.0,FJI,2023.0,419683105.0,2013.0
Finland,FIN,2023.0,0.1950641628354787,5601185.0,Europe,,FIN,2023.0,22440816406.0,2021.0
France,FRA,2023.0,0.0697234645485878,66438828.0,Europe,,FRA,2023.0,207492281250.0,2021.0
Gabon,,,,,,,GAB,2023.0,1174866088.0,2014.0
Gambia,GMB,2023.0,22.00188785791397,,,2020.0,GMB,2023.0,161097274.0,2018.0
Georgia,GEO,2023.0,5.826692283153534,3807494.0,Asia,,GEO,2023.0,3347795898.0,
Germany,DEU,2023.0,0.2437963150441646,,,2020.0,DEU,2023.0,299105437500.0,2021.0
Ghana,,,,,,,GHA,2023.0,7945555664.0,2018.0
Greece,GRC,2023.0,0.5942829418927431,10242910.0,Europe,,GRC,2023.0,14028684570.0,2019.0
Grenada,GRD,2023.0,0.7673545274883509,,,2018.0,GRD,2023.0,63930068.0,2017.0
Guatemala,GTM,2023.0,9.660949558019638,18124841.0,North America,,GTM,2023.0,7595461914.0,
