Entity,Code,Year,Share of population in poverty ($3 a day),Population,World region according to OWID,Share of population in poverty ($3 a day) (Original Year)
Albania,ALB,2023,0.3409224562346935,,,2020
Angola,AGO,2023,39.29470479488373,,,2018
Armenia,ARM,2023,1.9280258566141129,2943398,Asia,
Australia,AUS,2023,0.9892079047858715,,,2020
Austria,AUT,2023,0.5282233003526926,9130434,Europe,
Bangladesh,BGD,2023,5.909079313278198,,,2022
Belarus,BLR,2023,0,,,2020
Belgium,BEL,2023,0.08690045215189457,11712891,Europe,
Belize,BLZ,2023,1.0364782996475697,,,2018
Benin,BEN,2023,27.223417162895203,,,2021
Bhutan,BTN,2023,0.013378284347709268,,,2022
Bolivia,BOL,2023,2.817487344145775,12244161,South America,
Brazil,BRA,2023,3.815588727593422,211140731,South America,
Bulgaria,BGR,2023,1.0110015980899334,6795805,Europe,
Burkina Faso,BFA,2023,42.06163287162781,,,2021
Burundi,BDI,2023,74.19917583465576,,,2020
Cameroon,CMR,2023,26.691800355911255,,,2021
Canada,CAN,2023,0.24990197271108627,,,2021
Central African Republic,CAF,2023,71.61734700202942,,,2021
Chad,TCD,2023,39.47537541389465,,,2022
Chile,CHL,2023,0.5198356229811907,,,2022
China,CHN,2023,0,,,2022
Colombia,COL,2023,7.686956226825714,52321152,South America,
Costa Rica,CRI,2023,1.5395533293485641,5105526,North America,
Cote d'Ivoire,CIV,2023,20.902608335018158,,,2021
Croatia,HRV,2023,0.2627608831971884,3896023,Europe,
Cyprus,CYP,2023,0.013168177974876016,1344981,Europe,
Czechia,CZE,2023,0,10809722,Europe,
Democratic Republic of Congo,COD,2023,85.31767129898071,,,2020
Denmark,DNK,2023,0.3592246910557151,5948134,Europe,
Dominican Republic,DOM,2023,1.2726033106446266,11331269,North America,
Ecuador,ECU,2023,4.6807412058115005,17980079,South America,
Egypt,EGY,2023,1.3737847097218037,,,2021
El Salvador,SLV,2023,4.636839404702187,6309629,North America,
Equatorial Guinea,GNQ,2023,8.79419893026352,,,2022
Estonia,EST,2023,0.3169490024447441,1367195,Europe,
Ethiopia,ETH,2023,38.636115193367004,,,2021
Fiji,FJI,2023,4.653071612119675,,,2019
Finland,FIN,2023,0.19506416283547878,5601185,Europe,
France,FRA,2023,0.0697234645485878,66438828,Europe,
Gambia,GMB,2023,22.00188785791397,,,2020
Georgia,GEO,2023,5.826692283153534,3807494,Asia,
Germany,DEU,2023,0.24379631504416466,,,2020
Greece,GRC,2023,0.5942829418927431,10242910,Europe,
Grenada,GRD,2023,0.7673545274883509,,,2018
Guatemala,GTM,2023,9.660949558019638,18124841,North America,
Guinea,GIN,2023,11.650444567203522,,,2018
Guinea-Bissau,GNB,2023,39.86110985279083,,,2021
Honduras,HND,2023,17.02127605676651,10644853,North America,
Iceland,ISL,2023,0.0799420231487602,,,2019
India,IND,2023,5.25164008140564,,,2022
Indonesia,IDN,2023,6.716166436672211,281190068,Asia,
Iran,IRN,2023,2.4873051792383194,90608708,Asia,
Iraq,IRQ,2023,0.549431424587965,45074055,Asia,
Ireland,IRL,2023,0.08230576640926301,5196629,Europe,
Israel,ISR,2023,0.7207458838820457,,,2021
Italy,ITA,2023,0.927226897329092,59499452,Europe,
Jamaica,JAM,2023,1.3869243673980236,,,2021
Japan,JPN,2023,1.2131146155297756,,,2020
Kazakhstan,KAZ,2023,0.040175646427087486,,,2021
Kenya,KEN,2023,46.879225969314575,,,2022
Kiribati,KIR,2023,6.133309006690979,,,2019
Kosovo,OWID_KOS,2023,9.9788099527359,,,2022
Kyrgyzstan,KGZ,2023,2.7435172349214554,7073523,Asia,
Laos,LAO,2023,15.656700730323792,,,2018
Latvia,LVA,2023,0.44409683905541897,1882399,Europe,
Lebanon,LBN,2023,5.894135683774948,,,2022
Lithuania,LTU,2023,1.0979139246046543,2854104,Europe,
Luxembourg,LUX,2023,0.08513763314113021,665101,Europe,
Madagascar,MDG,2023,69.17263865470886,,,2021
Malawi,MWI,2023,75.43821930885315,,,2019
Malaysia,MYS,2023,0.01308294158661738,,,2021
Maldives,MDV,2023,0,,,2019
Mali,MLI,2023,36.103078722953796,,,2021
Malta,MLT,2023,0.11005144333466887,,,2022
